// This file was decompiled using VCSCM.ini published by GTAMods.com on 2019-10-19
DEFINE OBJECTS 205
DEFINE OBJECT (noname)                
DEFINE OBJECT DTN_STADDOORA            // Object number -1
Car.SetDriverBehaviour($861, FollowRoad)
0397: car $861 siren = 1 // never used in VC 
wait 250 
Model.Destroy(#MRWHOOP)
Model.Destroy(#BKA)
jump @ARRM_317 

:ARRM_317
wait 50 
if 
   not Car.Wrecked($861)
else_jump @ARRM_627 
if 
00B0:   car $861 0 730.2 -170.2 1500.8 1150.9 
else_jump @ARRM_627 
if 
   not Actor.Dead($862)
else_jump @ARRM_627 
if 
   Actor.DrivingVehicleType($862, #MRWHOOP)
else_jump @ARRM_608 
if 
0203:   actor $PLAYER_ACTOR near_car_on_foot $861 radius 8.0 8.0 unknown 0 
else_jump @ARRM_651 
if 
  $859 == 0 // $ == int 
else_jump @ARRM_483 
03E5: text_box 'BNK4_32'  // press ~h~~k~~PED_ANSWER_PHONE
$859 = 1 // $ = int 
Car.SetDriverBehaviour($861, Nowhere)

:ARRM_483
if 
00E1:   player 0 pressed_button 4 
else_jump @ARRM_317 
fade 0 0 
03E6: remove_text_box 
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
Player.CanMove($PLAYER_CHAR) = False
wait 500 
SAVEA_315() 
0222: set_player $PLAYER_CHAR health_to 100 
035E: set_player $PLAYER_CHAR armour_to 100 
018C: play_sound 1 at 0.0 0.0 0.0 
00BA: text_styled 'BNK4_36' 3000 ms 6  // ~g~armor - ~r~100~g~. health - ~r~100.
wait 1000 
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
Player.CanMove($PLAYER_CHAR) = True
jump @ARRM_672 

:ARRM_608
01ED: clear_actor $862 threat_search 
011A: set_actor $862 search_threat 1 
011A: set_actor $862 search_threat 16 

:ARRM_627
Car.RemoveReferences($861)
Actor.RemoveReferences($862)
$857 = 0 // $ = int 
jump @ARRM_672 

:ARRM_651
$859 = 0 // $ = int 
Car.SetDriverBehaviour($861, FollowRoad)
jump @ARRM_672 

:ARRM_672
if 
  $858 == 0 // $ == int 
else_jump @ARRM_902 
$858 = 1 // $ = int 
Model.Load(#MRWHOOP)
Model.Load(#BKA)

:ARRM_706
wait 0 
if and
   Model.Available(#MRWHOOP)
   Model.Available(#BKA)
else_jump @ARRM_706 

:ARRM_730
wait 0 
0208: 2@ = random_float 730.0 1500.0 
0208: 3@ = random_float -170.0 1150.0 
02C1: set 4@ 5@ 6@ to_car_path_coords_closest_to 2@ 3@ 20.0 
0054: store_player $PLAYER_CHAR position_to 7@ 8@ 9@ 
0509: 10@ = distance_between_point 7@ 8@ and_point 4@ 5@ 
if 
  10@ > 200.0 // @ > float 
else_jump @ARRM_730 
$863 = Car.Create(#MRWHOOP, 4@, 5@, 6@)
0129: $864 = create_actor 4 #BKA in_car $863 driverseat 
Car.SetDriverBehaviour($863, FollowRoad)
0397: car $863 siren = 1 // never used in VC 
wait 250 
Model.Destroy(#MRWHOOP)
Model.Destroy(#BKA)
jump @ARRM_902 

:ARRM_902
wait 50 
if 
   not Car.Wrecked($863)
else_jump @ARRM_1212 
if 
00B0:   car $863 0 730.2 -170.2 1500.8 1150.9 
else_jump @ARRM_1212 
if 
   not Actor.Dead($864)
else_jump @ARRM_1212 
if 
   Actor.DrivingVehicleType($864, #MRWHOOP)
else_jump @ARRM_1193 
if 
0203:   actor $PLAYER_ACTOR near_car_on_foot $863 radius 8.0 8.0 unknown 0 
else_jump @ARRM_1236 
if 
  $860 == 0 // $ == int 
else_jump @ARRM_1068 
03E5: text_box 'BNK4_32'  // press ~h~~k~~PED_ANSWER_PHONE
$860 = 1 // $ = int 
Car.SetDriverBehaviour($863, Nowhere)

:ARRM_1068
if 
00E1:   player 0 pressed_button 4 
else_jump @ARRM_902 
fade 0 0 
03E6: remove_text_box 
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
Player.CanMove($PLAYER_CHAR) = False
wait 500 
SAVEA_315() 
0222: set_player $PLAYER_CHAR health_to 100 
035E: set_player $PLAYER_CHAR armour_to 100 
018C: play_sound 1 at 0.0 0.0 0.0 
00BA: text_styled 'BNK4_36' 3000 ms 6  // ~g~armor - ~r~100~g~. health - ~r~100.
wait 1000 
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
Player.CanMove($PLAYER_CHAR) = True
jump @ARRM_672 

:ARRM_1193
01ED: clear_actor $864 threat_search 
011A: set_actor $864 search_threat 1 
011A: set_actor $864 search_threat 16 

:ARRM_1212
Car.RemoveReferences($863)
Actor.RemoveReferences($864)
$858 = 0 // $ = int 
jump @ARRM_1257 

:ARRM_1236
$860 = 0 // $ = int 
Car.SetDriverBehaviour($863, FollowRoad)
jump @ARRM_1257 

:ARRM_1257
jump @ARRM_42 

:ARRM_1264
if 
  $857 == 1 // $ == int 
else_jump @ARRM_1327 
Car.Destroy($861)
Actor.DestroyInstantly($862)
$857 = 0 // $ = int 
$858 = 0 // $ = int 
$859 = 0 // $ = int 
$860 = 0 // $ = int 
jump @ARRM_42 

:ARRM_1327
jump @ARRM_42 
end_thread 

:GMS
thread 'GMS' 
0@ = 0 // @ = int 

:GMS_17
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @GMS_17 
if 
00E0:   player $PLAYER_CHAR in_any_car 
else_jump @GMS_17 
03C1: 1@ = player $PLAYER_CHAR car_no_save 
02E3: $865 = car 1@ speed 
if 
0024:   $865 > $241 // $ > $ float 
else_jump @GMS_17 

:GMS_89
0086: $241 = $865 // $ = $ float 
wait 50 
03C1: 1@ = player $PLAYER_CHAR car_no_save 
02E3: $865 = car 1@ speed 
if 
0024:   $241 > $865 // $ > $ float 
else_jump @GMS_89 
0086: $866 = $241 // $ = $ float 
$866 *= 2.204 // $ *= float 
008C: $866 = float_to_integer $866 
01E3: text_1number_styled 'BNK4_2A' number $866 time 15000 style 6  // maximum of speed :  $~1~
$866 *= 50 // $ *= int 
Player.Money($PLAYER_CHAR) += $866
018C: play_sound 1 at 0.0 0.0 0.0 
jump @GMS_17 
end_thread 

:NTR
thread 'NTR' 
set_wb_check_to 0 

:NTR_14
0@ = 0 // @ = int 

:NTR_21
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @NTR_21 
if or
0329:   garage $166 respray_done 
0329:   garage $170 respray_done 
0329:   garage $171 respray_done 
0329:   garage $172 respray_done 
0329:   garage $173 respray_done 
0329:   garage $174 respray_done 
else_jump @NTR_399 
if 
847E:   not player $PLAYER_CHAR on_any_bike 
else_jump @NTR_21 
if 
  5 > 0@ // int > @ 
else_jump @NTR_377 
if 
   Player.Money($PLAYER_CHAR) > 5000
else_jump @NTR_1306 
00BC: text_highpriority 'BNK1_6' time 30000 1  // to buy  ~r~nitro ~w~press  ~h~~k~~VEHICLE_HORN~ .
Player.CanMove($PLAYER_CHAR) = False
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
TIMERB = 0 // @ = int 
wait 250 

:NTR_177
wait 0 
if 
  30000 > TIMERB // int > @ 
else_jump @NTR_346 
if and
80E1:   not player 0 pressed_button 10 
80E1:   not player 0 pressed_button 11 
80E1:   not player 0 pressed_button 14 
80E1:   not player 0 pressed_button 15 
80E1:   not player 0 pressed_button 19 
80E1:   not player 0 pressed_button 4 
else_jump @NTR_346 
if 
00E1:   player 0 pressed_button 18 
else_jump @NTR_177 
03D5: remove_text 'BNK1_6'  // to buy  ~r~nitro ~w~press  ~h~~k~~VEHICLE_HORN~ .
03E5: text_box 'BNK450A'  // ~h~~k~~TOGGLE_SUBMISSIONS~ ~w~- nitro.
Player.Money($PLAYER_CHAR) += -5000
0@ = 5 // @ = int 
01E5: text_1number_highpriority 'BNK4_26' 0@ time 2500 1  // ~r~nitro~w~: ~h~~1~
03C1: $867 = player $PLAYER_CHAR car_no_save 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
jump @NTR_417 

:NTR_346
03D5: remove_text 'BNK1_6'  // to buy  ~r~nitro ~w~press  ~h~~k~~VEHICLE_HORN~ .
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
jump @NTR_21 

:NTR_377
00BC: text_highpriority 'BNK2_6' time 3000 1  // no more ~r~nitro
jump @NTR_21 

:NTR_399
if 
  0@ > 0 // @ > int 
else_jump @NTR_21 

:NTR_417
if 
   not Car.Wrecked($867)
else_jump @NTR_14 
if 
00DC:   player $PLAYER_CHAR in_car $867 
else_jump @NTR_21 
if 
00E1:   player 0 pressed_button 19 
else_jump @NTR_21 
02E3: $868 = car $867 speed 
if 
81F3:   not car $867 airborne 
else_jump @NTR_21 
if 
  $868 > 10.0 // $ > float 
else_jump @NTR_21 
0407: create_coordinate 3@ 4@ 5@ from_car $867 offset 1.0 -1.0 0.0 
0407: create_coordinate 6@ 7@ 8@ from_car $867 offset -1.0 -1.0 0.0 
9@ = Car.Angle($867)
02F7: $869 = cosine 9@ // float 
$869 /= 5.0 // $ /= float 
0084: $870 = $869 // $ = $ int 
$870 *= -1.0 // $ *= float 
02F6: $871 = sine 9@ // float 
$871 /= 5.0 // $ /= float 
0084: $872 = $871 // $ = $ int 
$872 *= -1.0 // $ *= float 
0437: scatter_particle 45 1.9 at 3@ 4@ 5@ $869 $871 0.02 
0437: scatter_particle 44 1.9 at 3@ 4@ 5@ $869 $871 0.03 
0437: scatter_particle 43 1.9 at 3@ 4@ 5@ $869 $871 0.04 
0437: scatter_particle 45 1.9 at 6@ 7@ 8@ $870 $872 0.02 
0437: scatter_particle 44 1.9 at 6@ 7@ 8@ $870 $872 0.03 
0437: scatter_particle 43 1.9 at 6@ 7@ 8@ $870 $872 0.04 
$868 *= 2.2 // $ *= float 
TIMERA = 0 // @ = int 
0@ -= 1 // @ -= int 
01E5: text_1number_highpriority 'BNK3_2' 0@ time 4000 1  // ~r~nitro~w~: ~h~~1~
0407: create_coordinate 6@ 7@ 8@ from_car $867 offset 0.0 4.0 -6.0 
020C: create_explosion 5 at 6@ 7@ -20.0 
020C: create_explosion 5 at 6@ 7@ -22.0 
Camera.Shake(250)

:NTR_932
wait 0 
if 
  1200 > TIMERA // int > @ 
else_jump @NTR_21 
0407: create_coordinate 3@ 4@ 5@ from_car $867 offset 1.0 -1.0 -0.2 
0407: create_coordinate 6@ 7@ 8@ from_car $867 offset -1.0 -1.0 -0.2 
9@ = Car.Angle($867)
02F7: $869 = cosine 9@ // float 
$869 /= 5.0 // $ /= float 
0084: $870 = $869 // $ = $ int 
$870 *= -1.0 // $ *= float 
02F6: $871 = sine 9@ // float 
$871 /= 5.0 // $ /= float 
0084: $872 = $871 // $ = $ int 
$872 *= -1.0 // $ *= float 
0437: scatter_particle 42 0.6 at 3@ 4@ 5@ $869 $871 0.05 
0437: scatter_particle 44 0.7 at 3@ 4@ 5@ $871 $869 0.05 
0437: scatter_particle 23 0.8 at 3@ 4@ 5@ $869 $871 0.05 
0437: scatter_particle 42 0.6 at 6@ 7@ 8@ $870 $872 0.05 
0437: scatter_particle 44 0.7 at 6@ 7@ 8@ $871 $869 0.05 
0437: scatter_particle 23 0.8 at 6@ 7@ 8@ $870 $872 0.05 
if and
  300 > TIMERA // int > @ 
81F3:   not car $867 airborne 
else_jump @NTR_932 
04BA: set_car $867 speed_instantly $868 
jump @NTR_932 

:NTR_1306
00BC: text_highpriority 'BNK450B' time 6000 1  // 5000$  for   ~r~nitro ~w~.
jump @NTR_21 
end_thread 

:PROSS
thread 'PROSS' 
set_wb_check_to 0 

:PROSS_14
0@ = 0 // @ = int 

:PROSS_21
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PROSS_21 
if 
0057:   player $PLAYER_CHAR 0 235.811 -1259.57 24.5 219.177 -1281.07 17.0 
else_jump @PROSS_972 
if 
  0@ == 0 // @ == int 
else_jump @PROSS_387 
0@ = 1 // @ = int 

:PROSS_115
023C: load_special_actor 1 'STRIPA' 
wait 0 
if 
023D:   special_actor 1 loaded 
else_jump @PROSS_115 
$873 = Actor.Create(CivMale, #SPECIAL01, 227.552, -1264.233, 19.131)
01ED: clear_actor $873 threat_search 
Actor.Angle($873) = 180.0
0296: unload_special_actor 1 

:PROSS_189
023C: load_special_actor 2 'STRIPB' 
wait 0 
if 
023D:   special_actor 2 loaded 
else_jump @PROSS_189 
$874 = Actor.Create(CivMale, #SPECIAL02, 229.035, -1264.566, 19.131)
01ED: clear_actor $874 threat_search 
Actor.Angle($874) = 210.0
0296: unload_special_actor 2 

:PROSS_263
023C: load_special_actor 3 'STRIPC' 
wait 0 
if 
023D:   special_actor 3 loaded 
else_jump @PROSS_263 
$875 = Actor.Create(CivMale, #SPECIAL03, 229.652, -1263.088, 19.13)
01ED: clear_actor $875 threat_search 
Actor.Angle($875) = 270.0
0296: unload_special_actor 3 
0372: set_actor $873 anim 24 wait_state_time 9999999 ms 
0372: set_actor $874 anim 24 wait_state_time 9999999 ms 
0372: set_actor $875 anim 24 wait_state_time 9999999 ms 
3@ = 0 // @ = int 
jump @PROSS_21 

:PROSS_387
if or
   not Actor.Dead($873)
   not Actor.Dead($874)
   not Actor.Dead($875)
else_jump @PROSS_21 
if 
   Player.Money($PLAYER_CHAR) > 2000
else_jump @PROSS_21 
if 
0102:   actor $PLAYER_ACTOR stopped_near_point_on_foot 229.87 -1265.45 19.13 radius 1.0 1.0 2.0 sphere 1 
else_jump @PROSS_21 
fade 0 0 
Player.CanMove($PLAYER_CHAR) = False
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
0055: put_player $PLAYER_CHAR at 228.57 -1264.3 19.13 
0171: set_player $PLAYER_CHAR z_angle_to 180.0 
wait 500 
Camera.SetPosition(223.91, -1279.238, 20.29, 0.0, 0.0, 0.0)
0157: camera_on_player $PLAYER_CHAR mode 15 switchstyle 2 
0332: set_actor $873 bleeding_to 1 
0332: set_actor $874 bleeding_to 1 
0332: set_actor $875 bleeding_to 1 
Actor.PutAt($873, 228.66, -1263.68, 19.59)
Actor.Angle($873) = 45.0
0321: kill_actor $873 
wait 500 
Actor.PutAt($874, 227.551, -1264.236, 19.131)
Actor.Angle($874) = 0.0
0321: kill_actor $874 
wait 500 
Actor.PutAt($875, 228.32, -1263.6, 19.5)
Actor.Angle($875) = 60.0
0321: kill_actor $875 
wait 500 
SAVEA_315() 
wait 500 
03CF: load_wav 'PISS_02' as 1 

:PROSS_741
wait 0 
if 
03D0:   wav 1 loaded 
else_jump @PROSS_741 
03D1: play_wav 1 

:PROSS_764
wait 0 
if 
03D2:   wav 1 ended 
else_jump @PROSS_764 
040D: unload_wav 1 
03CF: load_wav 'PISS_01' as 2 

:PROSS_799
wait 0 
if 
03D0:   wav 2 loaded 
else_jump @PROSS_799 
03D1: play_wav 2 

:PROSS_822
wait 0 
if 
03D2:   wav 2 ended 
else_jump @PROSS_822 
040D: unload_wav 2 
fade 0 0 
wait 1000 
Camera.SetPosition(230.69, -1273.39, 21.84, 0.0, 0.0, 0.0)
0157: camera_on_player $PLAYER_CHAR mode 15 switchstyle 2 
0211: actor $PLAYER_ACTOR walk_to 228.57 -1270.3 
wait 250 
Player.Money($PLAYER_CHAR) += -2000
Actor.Health($PLAYER_ACTOR) = 200
0394: play_music 1 
SAVEA_315() 
wait 4000 
Camera.Restore_WithJumpCut
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
jump @PROSS_21 

:PROSS_972
if 
  0@ == 1 // @ == int 
else_jump @PROSS_21 
Actor.DestroyInstantly($873)
Actor.DestroyInstantly($874)
Actor.DestroyInstantly($875)
jump @PROSS_14 
end_thread 

:SSSLU
thread 'SSSLU' 

:SSSLU_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @SSSLU_10 
if 
  $213 > 2 // $ > int 
else_jump @SSSLU_10 
02A8: 1@ = create_marker 30 at 1094.115 424.76 23.271 
Marker.Disable(1@)

:SSSLU_76
0@ = 0 // @ = int 
Marker.Disable(1@)

:SSSLU_88
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @SSSLU_88 
if 
  $ONMISSION == 0 // $ == int 
else_jump @SSSLU_88 
if 
0056:   player $PLAYER_CHAR 0 844.115 184.76 1344.115 674.76 
else_jump @SSSLU_485 
if 
  0@ == 0 // @ == int 
else_jump @SSSLU_219 
02A8: 1@ = create_marker 30 at 1094.115 424.76 23.271 
0@ = 1 // @ = int 
jump @SSSLU_88 

:SSSLU_219
if 
00F9:   player $PLAYER_CHAR stopped 1 1094.115 424.76 23.271 radius 1.0 1.0 2.0 
else_jump @SSSLU_88 
$ONMISSION = 1 // $ = int 
Marker.Disable(1@)
Player.CanMove($PLAYER_CHAR) = False
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
0055: put_player $PLAYER_CHAR at 1094.115 424.76 23.271 
0171: set_player $PLAYER_CHAR z_angle_to 90.0 
0512: show_permanent_text_box 'BNK4_46' 

:SSSLU_333
wait 250 
if 
00E1:   player 0 pressed_button 16 
else_jump @SSSLU_387 
03E6: remove_text_box 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
start_mission 7  // Treacherous Swine
wait 250 
jump @SSSLU_76 

:SSSLU_387
if 
00E1:   player 0 pressed_button 15 
else_jump @SSSLU_436 
03E6: remove_text_box 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
start_mission 15  // Supply & Demand
wait 250 
jump @SSSLU_76 

:SSSLU_436
if 
00E1:   player 0 pressed_button 19 
else_jump @SSSLU_333 
03E6: remove_text_box 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
start_mission 16  // Rub Out
wait 250 
jump @SSSLU_76 

:SSSLU_485
if 
  0@ == 1 // @ == int 
else_jump @SSSLU_88 
0@ = 0 // @ = int 
Marker.Disable(1@)
jump @SSSLU_76 
end_thread 

:NARIN
thread 'NARIN' 

:NARIN_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @NARIN_10 
if 
  $213 > 2 // $ > int 
else_jump @NARIN_10 
02A8: 1@ = create_marker 30 at 691.983 637.196 16.282 
Marker.Disable(1@)

:NARIN_76
0@ = 0 // @ = int 
Marker.Disable(1@)

:NARIN_88
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @NARIN_88 
if 
  $ONMISSION == 0 // $ == int 
else_jump @NARIN_492 
if 
0056:   player $PLAYER_CHAR 0 491.983 437.196 891.983 837.196 
else_jump @NARIN_492 
if 
  0@ == 0 // @ == int 
else_jump @NARIN_219 
02A8: 1@ = create_marker 30 at 691.983 637.196 16.282 
0@ = 1 // @ = int 
jump @NARIN_88 

:NARIN_219
if 
00F9:   player $PLAYER_CHAR stopped 1 691.983 637.196 16.282 radius 1.0 1.0 2.0 
else_jump @NARIN_88 
$ONMISSION = 1 // $ = int 
Marker.Disable(1@)
Player.CanMove($PLAYER_CHAR) = False
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
0055: put_player $PLAYER_CHAR at 691.983 637.196 16.282 
0171: set_player $PLAYER_CHAR z_angle_to 90.0 
0512: show_permanent_text_box 'BNK4_46' 

:NARIN_333
wait 250 
if 
00E1:   player 0 pressed_button 16 
else_jump @NARIN_387 
03E6: remove_text_box 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
start_mission 11  // All Hands On Deck!
wait 250 
jump @NARIN_485 

:NARIN_387
if 
00E1:   player 0 pressed_button 15 
else_jump @NARIN_436 
03E6: remove_text_box 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
start_mission 12  // The Chase
wait 250 
jump @NARIN_485 

:NARIN_436
if 
00E1:   player 0 pressed_button 19 
else_jump @NARIN_333 
03E6: remove_text_box 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
start_mission 13  // Phnom Penh '86
wait 250 
jump @NARIN_485 

:NARIN_485
jump @NARIN_76 

:NARIN_492
if 
  0@ == 1 // @ == int 
else_jump @NARIN_88 
0@ = 0 // @ = int 
Marker.Disable(1@)
jump @NARIN_76 
end_thread 

:O4X4_1
thread 'O4X4_1' 

:O4X4_1_10
wait 250 
if 
   Player.Defined($876)
else_jump @O4X4_1_222 
if and
  $ONMISSION == 0 // $ == int 
0121:   player $PLAYER_CHAR in_zone 'BEACH3'  // Vice Point
else_jump @O4X4_1_222 
if and
00DE:   player $PLAYER_CHAR driving_vehicle_type #PCJ600 
8057:   not player $PLAYER_CHAR 0 803.149 566.531 17.636 811.149 574.531 20.636 
else_jump @O4X4_1_125 
$877 = 1 // $ = int 

:O4X4_1_125
if 
80E0:   not player $PLAYER_CHAR in_any_car 
else_jump @O4X4_1_148 
$877 = 0 // $ = int 

:O4X4_1_148
if and
00DE:   player $PLAYER_CHAR driving_vehicle_type #PCJ600 
  $877 == 0 // $ == int 
else_jump @O4X4_1_181 
$878 = 1 // $ = int 

:O4X4_1_181
if 
  $878 == 1 // $ == int 
else_jump @O4X4_1_222 
00BA: text_styled 'T4X4_1' 5000 ms 2  // 'PCJ Playground'
wait 0 
start_mission 10  // Sir, Yes Sir!

:O4X4_1_222
jump @O4X4_1_10 

:O4X4_1_229
TIMERB = 0 // @ = int 
wait 500 

:O4X4_1_241
wait 0 
if or
00E1:   player 0 pressed_button 4 
00E1:   player 0 pressed_button 15 
00E1:   player 0 pressed_button 16 
00E1:   player 0 pressed_button 14 
002F:   TIMERB >= $879 // @ >= $ int 
else_jump @O4X4_1_241 
return 

:PHONEB
thread 'PHONEB' 
wait 6000 
00BA: text_styled 'ASM3_6' 15000 ms 4  // ~g~to phone call press ~w~~k~~PED_ANSWER_PHONE~  ~g~for two seconds
end_thread 

:MOBL
thread 'MOBL' 

:MOBL_10
wait 500 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @MOBL_10 
if 
  $213 > 2 // $ > int 
else_jump @MOBL_10 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @MOBL_10 
if 
  $ONMISSION == 0 // $ == int 
else_jump @MOBL_10 
if 
   not Actor.Driving($PLAYER_ACTOR)
else_jump @MOBL_10 
if 
00E1:   player 0 pressed_button 4 
else_jump @MOBL_10 
TIMERA = 0 // @ = int 

:MOBL_123
wait 0 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @MOBL_123 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @MOBL_123 
if 
  $ONMISSION == 0 // $ == int 
else_jump @MOBL_10 
if 
   not Actor.Driving($PLAYER_ACTOR)
else_jump @MOBL_10 
if 
00E1:   player 0 pressed_button 4 
else_jump @MOBL_10 
if 
  TIMERA > 2000 // @ > int 
else_jump @MOBL_123 
MOBL_808() 
0512: show_permanent_text_box 'ASM1_1' 
018C: play_sound 1 at 0.0 0.0 0.0 
TIMERA = 0 // @ = int 
wait 1500 

:MOBL_277
wait 0 
if 
  $ONMISSION == 0 // $ == int 
else_jump @MOBL_842 
if 
00E1:   player 0 pressed_button 16 
else_jump @MOBL_366 
03E6: remove_text_box 
wait 500 
00BA: text_styled 'ASM4_4' 5000 ms 5  // register race
wait 2000 
052B: actor $PLAYER_ACTOR hold_cellphone 0 
Model.Destroy(#CELLPHONE)
start_mission 3  // The Party
jump @MOBL_801 

:MOBL_366
if 
00E1:   player 0 pressed_button 13 
else_jump @MOBL_492 
03E6: remove_text_box 
018C: play_sound 1 at 0.0 0.0 0.0 
wait 250 
00BC: text_highpriority 'ASM4_11' time 60000 1  // ~r~- some nut has robbed bank. Get the money and bring  me
$880 = 28000 // $ = int 
$879 = 30000 // $ = int 
O4X4_1_229() 
03D5: remove_text 'ASM4_11'  // ~r~- some nut has robbed bank. Get the money and bring  me
wait 250 
052B: actor $PLAYER_ACTOR hold_cellphone 0 
wait 1000 
Model.Destroy(#CELLPHONE)
start_mission 8  // Mall Shootout
jump @MOBL_801 

:MOBL_492
if 
00E1:   player 0 pressed_button 15 
else_jump @MOBL_618 
03E6: remove_text_box 
018C: play_sound 1 at 0.0 0.0 0.0 
wait 250 
00BC: text_highpriority 'BNK1_4' time 60000 1  // test for speed
$880 = 28000 // $ = int 
$879 = 30000 // $ = int 
O4X4_1_229() 
03D5: remove_text 'BNK1_4'  // test for speed
wait 250 
052B: actor $PLAYER_ACTOR hold_cellphone 0 
wait 1000 
Model.Destroy(#CELLPHONE)
start_mission 14  // The Fastest Boat
jump @MOBL_801 

:MOBL_618
if and
  $243 == 0 // $ == int 
00E1:   player 0 pressed_button 18 
else_jump @MOBL_751 
03E6: remove_text_box 
018C: play_sound 1 at 0.0 0.0 0.0 
wait 250 
00BC: text_highpriority 'ASM4_14' time 60000 1  // ~r~my guys has stuck in bank - adown, where seif. There packed cops. get money and bring me
$880 = 28000 // $ = int 
$879 = 30000 // $ = int 
O4X4_1_229() 
03D5: remove_text 'ASM4_14'  // ~r~my guys has stuck in bank - adown, where seif. There packed cops. get money and bring me
wait 250 
052B: actor $PLAYER_ACTOR hold_cellphone 0 
wait 1000 
Model.Destroy(#CELLPHONE)
start_mission 4  // Back Alley Brawl
jump @MOBL_801 

:MOBL_751
if 
00E1:   player 0 pressed_button 4 
else_jump @MOBL_277 
018C: play_sound 1 at 0.0 0.0 0.0 
03E6: remove_text_box 
052B: actor $PLAYER_ACTOR hold_cellphone 0 
Model.Destroy(#CELLPHONE)

:MOBL_801
jump @MOBL_10 

:MOBL_808
Model.Load(#CELLPHONE)

:MOBL_813
wait 0 
if 
   Model.Available(#CELLPHONE)
else_jump @MOBL_813 
052B: actor $PLAYER_ACTOR hold_cellphone 1 
return 

:MOBL_842
052B: actor $PLAYER_ACTOR hold_cellphone 0 
Model.Destroy(#CELLPHONE)
jump @MOBL_10 

:SAVEA
thread 'SAVEA' 

:SAVEA_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @SAVEA_10 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @SAVEA_10 
if 
  $ONMISSION == 0 // $ == int 
else_jump @SAVEA_10 
if 
   not Actor.Driving($PLAYER_ACTOR)
else_jump @SAVEA_10 
if 
00E1:   player 0 pressed_button 18 
else_jump @SAVEA_10 
TIMERA = 0 // @ = int 

:SAVEA_105
wait 0 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @SAVEA_105 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @SAVEA_105 
if 
  $ONMISSION == 0 // $ == int 
else_jump @SAVEA_10 
if 
   not Actor.Driving($PLAYER_ACTOR)
else_jump @SAVEA_10 
if 
00E1:   player 0 pressed_button 18 
else_jump @SAVEA_10 
if 
  TIMERA > 2000 // @ > int 
else_jump @SAVEA_105 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @SAVE7_283 
0054: store_player $PLAYER_CHAR position_to 1@ 2@ 3@ 
fade 1 1000 
0395: clear_area 1 at 1@ 2@ 2.0 range 2.0 
0055: put_player $PLAYER_CHAR at 1@ 2@ 3@ 
0171: set_player $PLAYER_CHAR z_angle_to 0.0 
MAIN_4544() 
jump @SAVEA_10 
end_thread 

:SAVEA_315
0169: set_fade_color 0 0 0 
fade 1 500 

:SAVEA_330
if 
fading 
else_jump @SAVEA_354 
wait 0 
jump @SAVEA_330 

:SAVEA_354
return 

:SAVEA_356
if 
83D0:   not wav $881 loaded 
else_jump @SAVEA_383 
wait 0 
